filename,IPC,FTQ_STALLED_MPKI,UOP_CACHE_HIT_RATE,CRITICAL_HIT_RATE,INSTR_TILL_MISS_RESTEER,EVICT_DEMAND_PERC,EVICT_PREF_NOT_USED_PERC,EVICT_PREF_USED_PERC,L1I_PREFETCH_USEFUL,SWITCH_STALLS_MPKI
compute_int_86.txt,2.39683,16.1278,84.4293,92.0006,73.3478,77.4953,0,22.5048,149520,11.1688
compute_int_884.txt,2.53707,9.48452,88.6194,92.5055,120.186,84.152,0,15.8481,66383,8.83196
compute_int_89.txt,2.25827,7.49402,75.361,86.9177,162.023,80.1426,0,19.8575,122449,11.4447
compute_int_894.txt,2.27818,15.0732,85.1054,92.5397,100.412,78.9002,0,21.0999,117110,9.9687
compute_int_898.txt,3.97253,9.5452,72.8147,86.7461,58.1259,71.6593,0,28.3408,107053,14.0897
compute_int_908.txt,2.0614,18.4547,85.9466,92.5983,72.0973,76.8379,0,23.1622,133923,10.6564
compute_int_92.txt,2.56221,17.7476,78.7932,85.1209,70.4353,68.9724,0,31.0277,171623,11.9083
compute_int_933.txt,2.47678,19.7257,77.637,86.0234,66.2357,69.0378,0,30.9623,204278,12.0454
compute_int_945.txt,2.56553,10.2145,84.6848,94.2607,105.418,82.1201,0,17.88,76189,11.1733
compute_int_948.txt,2.29118,13.9288,68.4128,83.9116,59.4167,68.6479,0,31.3522,286250,15.2045
compute_int_955.txt,2.71522,14.0682,84.2275,92.0782,91.4394,75.1189,0,24.8812,122155,10.3821
compute_int_965.txt,1.95929,19.258,85.7793,92.4321,70.9051,77.0119,0,22.9882,186933,8.5218
compute_int_967.txt,2.43329,5.09636,81.7767,91.4358,150.456,76.7484,0,23.2517,75268,7.24522
compute_int_971.txt,2.1742,12.3364,84.5262,93.0768,113.039,81.387,0,18.6131,88157,10.6531
crypto10.txt,4.62825,0.91336,99.1022,91.2395,435.809,93.5823,0,6.4178,16020,0.57414
crypto100.txt,2.02575,18.4223,86.5116,92.5253,69.7561,77.904,0,22.0961,159673,9.04545
crypto101.txt,4.17339,0.85712,99.0653,92.0863,297.267,91.4905,0,8.50957,14332,0.66078
crypto103.txt,4.51643,0.76674,98.7886,90.2319,670.157,93.5753,0,6.42471,16600,0.69772
crypto104.txt,4.28389,0.876781,98.8348,91.8488,290.488,92.0423,0,7.95771,14469,0.824121
crypto105.txt,1.97857,0.96252,98.8499,91.4018,1066.06,93.6415,0,6.35854,18162,0.70158
