filename,IPC,FTQ_STALLED_MPKI,UOP_CACHE_HIT_RATE,CRITICAL_HIT_RATE,INSTR_TILL_MISS_RESTEER,EVICT_DEMAND_PERC,EVICT_PREF_NOT_USED_PERC,EVICT_PREF_USED_PERC,L1I_PREFETCH_USEFUL,SWITCH_STALLS_MPKI
compute_int_589.txt,3.14239,6.86692,90.6778,96.6317,120.844,92.4705,0,7.5296,35542,5.07166
compute_int_591.txt,2.40376,6.09947,76.4972,95.6284,183.904,89.5959,0,10.4042,64227,5.22753
compute_int_598.txt,1.6983,16.7643,84.2915,93.277,84.5567,81.1073,0,18.8928,129544,10.0226
compute_int_607.txt,2.45375,13.7882,87.66,94.3388,97.2521,87.9114,0,12.0887,67549,8.33296
compute_int_611.txt,2.33099,18.5237,82.8188,88.6956,82.473,78.6465,0,21.3536,160445,8.49411
compute_int_624.txt,1.73877,16.5971,68.0267,90.8429,62.5903,78.8877,0,21.1124,232641,8.72288
compute_int_626.txt,2.4627,22.8558,69.608,85.738,49.1935,76.0542,0,23.9459,198066,14.1906
compute_int_646.txt,2.53955,8.65926,93.4651,95.9267,129.871,93.7401,0,6.25998,29294,4.3622
compute_int_650.txt,3.12266,6.22966,83.4231,92.9066,92.2151,88.927,0,11.0731,53224,8.85596
compute_int_658.txt,2.20237,24.4619,75.3063,87.3529,56.1602,75.5489,0,24.4512,224806,10.8442
compute_int_666.txt,2.21462,26.4114,75.4379,88.1069,53.2634,74.8024,0,25.1977,227921,11.2845
compute_int_674.txt,2.74045,4.59546,94.8682,93.4509,347.927,91.9627,0,8.03734,28598,3.28792
compute_int_678.txt,1.88074,19.3581,83.8297,93.0518,73.6006,82.56,0,17.4401,169189,10.4092
compute_int_690.txt,2.70592,6.47958,85.517,92.5896,115.998,87.9867,0,12.0134,45527,9.61186
compute_int_693.txt,2.21687,27.0233,78.9071,89.4416,56.443,74.2848,0,25.7153,205396,9.34068
compute_int_706.txt,2.14751,13.507,75.8493,93.2005,72.4142,86.0109,0,13.9892,138164,7.3459
compute_int_729.txt,2.70139,7.46538,78.8853,87.4686,157.763,83.5478,0,16.4523,125135,11.9096
compute_int_746.txt,2.76727,11.9056,89.2649,95.1618,104.849,90.3011,0,9.69895,28319,7.84247
compute_int_747.txt,2.00773,10.9194,73.7085,92.3997,104.363,81.3722,0,18.6279,135107,7.5942
compute_int_771.txt,2.18949,25.7605,75.7634,86.9454,56.341,75.7415,0,24.2586,232396,10.915
compute_int_773.txt,2.3119,11.9533,80.1398,91.9406,101.156,87.0356,0,12.9645,100723,7.30806
compute_int_781.txt,1.90567,13.1174,80.9479,93.7833,109.775,87.1984,0,12.8017,107346,6.15888
compute_int_80.txt,2.23923,27.439,76.9627,88.4278,53.1346,74.9344,0,25.0657,228670,10.1097
compute_int_802.txt,2.27392,10.726,81.3646,93.2928,96.0871,88.9059,0,11.0942,90980,8.17991
compute_int_83.txt,1.87566,22.0538,79.8686,91.0203,59.5988,79.9982,0,20.0019,241549,11.5739
compute_int_835.txt,2.29175,17.269,82.0386,89.3916,93.332,80.9122,0,19.0879,148176,8.0626
compute_int_842.txt,2.49636,14.2309,85.1324,94.0223,97.8141,86.4444,0,13.5557,88861,8.89392
compute_int_845.txt,2.68334,12.2321,80.3189,92.1356,95.3233,83.8031,0,16.197,92843,11.7807
compute_int_854.txt,1.84979,13.4584,74.2774,91.6986,89.2113,82.1308,0,17.8693,214187,7.59413
compute_int_86.txt,2.39571,16.142,84.042,92.6444,75.0572,84.5716,0,15.4285,138819,10.5918
compute_int_884.txt,2.53615,9.47214,88.4109,93.4496,122.032,88.9299,0,11.0702,59889,8.60568
compute_int_89.txt,2.261,7.45444,74.7542,88.6375,165.83,85.3418,0,14.6583,107876,11.0163
compute_int_894.txt,2.27608,15.0557,84.7224,93.2634,103.339,84.7657,0,15.2344,105793,9.20696
compute_int_898.txt,3.97559,9.52771,72.2385,87.4236,61.9977,79.9914,0,20.0087,103281,13.5342
compute_int_908.txt,2.06403,18.5224,85.5554,93.2048,73.8639,84.2475,0,15.7526,123904,10.1698
compute_int_92.txt,2.56688,17.7263,78.2307,86.0709,73.7556,78.3093,0,21.6908,163663,10.7708
compute_int_933.txt,2.47893,19.7437,76.9193,86.7811,69.8248,78.3353,0,21.6648,195031,10.7094
compute_int_945.txt,2.56812,10.1863,84.36,94.8877,106.662,87.4307,0,12.5694,66751,10.9347
compute_int_948.txt,2.29484,13.8065,67.9659,85.8753,64.3393,76.8788,0,23.1213,248517,14.3801
compute_int_955.txt,2.71735,14.0328,84.0967,92.7293,93.6359,81.3346,0,18.6655,107914,10.1283
compute_int_965.txt,1.96093,19.1407,85.7903,93.1946,72.6496,83.7908,0,16.2093,159540,8.05986
compute_int_967.txt,2.43387,5.14646,81.2795,92.2324,149.01,83.2462,0,16.7539,64319,7.22518
compute_int_971.txt,2.17197,12.3374,83.9326,93.5587,115.598,86.8263,0,13.1738,81008,10.2431
crypto10.txt,4.634,0.89494,99.1166,92.3046,436.236,95.6021,0,4.39798,12841,0.54334
crypto100.txt,2.02693,18.3369,86.3612,93.1767,70.9076,84.1967,0,15.8034,137312,8.69587
crypto101.txt,4.17911,0.84108,99.0776,93.0091,293.743,93.9708,0,6.02929,11384,0.64458
crypto103.txt,4.52125,0.74844,98.8135,91.4483,667.604,95.4902,0,4.50987,13165,0.65892
crypto104.txt,4.28618,0.870381,98.8447,92.7794,286.801,94.4285,0,5.57154,11520,0.808021
crypto105.txt,1.9791,0.93728,98.874,92.5862,1071.1,95.5834,0,4.41664,14460,0.66408
crypto13.txt,4.1725,0.858681,99.0675,92.9748,284.651,94.4152,0,5.5849,10580,0.642201
crypto14.txt,4.82113,0.75754,99.2176,91.3402,450.278,95.7703,0,4.22977,11831,0.43432
crypto16.txt,2.97113,8.39206,94.5954,95.1055,174.048,89.7233,0,10.2768,56177,3.11022
crypto18.txt,5.02859,0.62578,99.4429,92.3333,488.878,98.4985,0,1.50153,8672,0.33558
crypto19.txt,4.1843,0.80056,99.1165,92.8035,323.707,94.4076,0,5.59246,10887,0.54472
crypto20.txt,4.59422,7.83776,92.5637,92.6388,158.817,98.9851,0,1.01497,9206,10.5278
crypto21.txt,4.84147,0.76914,99.1963,91.1969,199.68,97.3654,0,2.63462,12179,0.45676
crypto23.txt,4.26177,0.83204,98.9217,92.7035,313.311,93.9661,0,6.03395,11580,0.78056
crypto24.txt,4.51577,0.74914,98.8057,91.9868,373.292,93.8795,0,6.12057,13346,0.67612
crypto25.txt,2.81322,6.37329,95.0696,95.403,185.065,89.1428,0,10.8573,40514,3.03829
crypto26.txt,3.95276,0.91428,98.8778,92.2011,315.069,93.1105,0,6.88953,14037,0.6448
crypto27.txt,4.15107,0.937661,98.1158,91.9085,438.297,93.2809,0,6.71913,18657,1.27089
crypto28.txt,2.16167,16.8945,85.7201,92.9867,73.4963,84.6459,0,15.3542,121688,8.95956
crypto29.txt,4.5245,0.72244,98.794,91.5381,420.247,93.855,0,6.14509,13503,0.6884
crypto3.txt,4.9741,0.80842,99.4847,92.437,347.072,97.5814,0,2.41863,9282,0.33526
crypto31.txt,5.01802,0.7449,99.5036,92.2226,173.879,98.2613,0,1.7388,9076,0.29798
crypto33.txt,4.82774,3.3884,96.0013,93.7635,234.637,98.8034,0,1.19661,9152,6.20448
crypto36.txt,4.91423,2.86044,95.8069,93.0247,170.671,98.5569,0,1.44311,9128,5.8492
crypto37.txt,4.96718,0.8171,99.4948,92.5473,354.012,98.1594,0,1.84062,9171,0.33966
crypto38.txt,4.9738,0.8136,99.482,92.7986,156.447,97.7046,0,2.29546,8960,0.33548
crypto39.txt,4.94555,1.21085,97.8435,92.0705,215.407,93.5093,0,6.49075,11806,2.06599
crypto4.txt,3.07905,7.97298,93.2053,95.0966,177.813,91.3451,0,8.65496,34724,4.7016
crypto41.txt,5.01299,0.7647,99.494,92.0469,386.848,97.9822,0,2.01784,9061,0.32668
crypto43.txt,1.99707,0.9472,98.2063,92.255,659.592,94.4763,0,5.52374,18425,0.99272
crypto45.txt,4.68411,0.78204,99.1623,93.3713,531.162,96.4522,0,3.54787,10890,0.5259
crypto47.txt,5.02042,0.645181,99.4291,92.1286,1265.04,97.852,0,2.14809,8923,0.350621
crypto48.txt,4.83385,0.75488,99.2169,91.0815,179.785,98.0765,0,1.92358,12178,0.45696
crypto49.txt,4.29238,0.92834,98.9253,92.8044,267.429,94.699,0,5.3011,13309,0.73924
crypto5.txt,3.54531,3.73756,96.3915,89.8873,183.902,87.9367,0,12.0634,35507,2.17074
crypto52.txt,2.74038,9.76308,93.7379,92.2153,142.317,84.5745,0,15.4256,86094,3.53746
crypto53.txt,4.99729,0.74442,99.2899,92.2297,165.322,91.5067,0,8.49336,8810,0.544
crypto54.txt,3.93792,0.94646,98.7978,92.2299,278.064,93.1006,0,6.89946,14018,0.789
crypto55.txt,5.2973,0.54224,99.1422,93.6168,181.47,96.2262,0,3.77386,4526,0.84572
crypto56.txt,3.93612,0.94504,98.8049,92.5086,271.388,92.5829,0,7.41718,14589,0.78002
crypto57.txt,4.16478,0.778841,96.352,92.1168,350.92,96.6058,0,3.39424,13269,4.31297
crypto58.txt,4.62607,0.86674,99.1509,92.5766,1305.06,95.5672,0,4.43285,13074,0.49394
crypto59.txt,4.57629,0.84044,97.3085,92.0524,305.031,97.7703,0,2.22972,14089,2.59322
crypto6.txt,4.97136,0.81292,99.4873,92.3932,354.923,98.1679,0,1.83212,9147,0.33278
crypto60.txt,4.95202,1.08476,96.9259,92.5115,187.044,94.0981,0,5.90191,10431,2.90012
crypto61.txt,4.817,0.77214,98.6056,91.3078,199.209,95.9627,0,4.03731,11610,1.11848
crypto62.txt,4.6428,6.44146,94.3505,92.6209,170.183,98.9208,0,1.07921,9041,8.58754
crypto63.txt,4.91427,2.6216,93.3844,92.6513,165.453,96.714,0,3.28607,8964,5.85426
crypto65.txt,4.96895,0.80932,99.4913,92.5086,911.898,98.084,0,1.91609,9184,0.33446
crypto67.txt,4.98011,0.80182,99.4753,92.4574,353.138,97.8022,0,2.19785,8867,0.3378
